Datetime,UnixTime,Pressure,FlowF,Total
01-01-2024 0:00,1704042000,1.57,7.2,858088.6
01-01-2024 0:15,1704042900,1.56,7.2,858090.4
01-01-2024 0:30,1704043800,1.57,7.2,858092.2
01-01-2024 0:45,1704044700,1.56,7.2,858094
01-01-2024 1:00,1704045600,1.57,7.2,858095.8
01-01-2024 1:15,1704046500,1.56,6.8,858097.5
01-01-2024 1:30,1704047400,1.57,6.4,858099.1
01-01-2024 1:45,1704048300,1.56,6.4,858100.7
01-01-2024 2:00,1704049200,1.56,6.8,858102.4
01-01-2024 2:15,1704050100,1.56,6.4,858104
01-01-2024 2:30,1704051000,1.56,6.8,858105.7
01-01-2024 2:45,1704051900,1.55,6.4,858107.3
01-01-2024 3:00,1704052800,1.56,7.2,858109.1
01-01-2024 3:15,1704053700,1.56,6.8,858110.8
01-01-2024 3:30,1704054600,1.56,6.4,858112.4
01-01-2024 3:45,1704055500,1.55,7.2,858114.2
01-01-2024 4:00,1704056400,1.55,7.2,858116
01-01-2024 4:15,1704057300,1.55,7.6,858117.9
01-01-2024 4:30,1704058200,1.56,8,858119.9
01-01-2024 4:45,1704059100,1.53,9.6,858122.3
01-01-2024 5:00,1704060000,2.14,15.9,858126.3
01-01-2024 5:15,1704060900,2.07,17.6,858130.7
01-01-2024 5:30,1704061800,2.09,18,858135.2
01-01-2024 5:45,1704062700,2.06,22,858140.7
01-01-2024 6:00,1704063600,2.09,21.6,858146.1
01-01-2024 6:15,1704064500,2.08,22.8,858151.8
01-01-2024 6:30,1704065400,1.96,24.4,858157.9
01-01-2024 6:45,1704066300,1.96,29.6,858165.3
01-01-2024 7:00,1704067200,1.99,30.8,858173
01-01-2024 7:15,1704068100,1.87,34,858181.5
01-01-2024 7:30,1704069000,1.87,36.4,858190.6
01-01-2024 7:45,1704069900,1.99,38.4,858200.2
01-01-2024 8:00,1704070800,1.95,36.4,858209.3
01-01-2024 8:15,1704071700,1.87,35.2,858218.1
01-01-2024 8:30,1704072600,1.89,37.6,858227.5
01-01-2024 8:45,1704073500,1.97,31.6,858235.4
01-01-2024 9:00,1704074400,1.88,33.2,858243.7
01-01-2024 9:15,1704075300,1.96,34,858252.2
01-01-2024 9:30,1704076200,2.03,36,858261.2
01-01-2024 9:45,1704077100,2,35.6,858270.1
01-01-2024 10:00,1704078000,1.97,30.4,858277.7
01-01-2024 10:15,1704078900,1.96,32.4,858285.8
01-01-2024 10:30,1704079800,1.95,32.4,858293.9
01-01-2024 10:45,1704080700,2,31.6,858301.8
01-01-2024 11:00,1704081600,2.02,30,858309.3
01-01-2024 11:15,1704082500,2.05,30.4,858316.9
01-01-2024 11:30,1704083400,2.02,28,858323.9
01-01-2024 11:45,1704084300,1.96,28,858330.9
01-01-2024 12:00,1704085200,2.09,27.2,858337.7
01-01-2024 12:15,1704086100,2.06,24.8,858343.9
01-01-2024 12:30,1704087000,2.05,24,858349.9
01-01-2024 12:45,1704087900,2.08,23.6,858355.8
01-01-2024 13:00,1704088800,2.08,23.6,858361.7
01-01-2024 13:15,1704089700,2,22,858367.2
01-01-2024 13:30,1704090600,2.04,24.8,858373.4
01-01-2024 13:45,1704091500,2.02,24.4,858379.5
01-01-2024 14:00,1704092400,2.08,20.8,858384.7
01-01-2024 14:15,1704093300,2.04,21.6,858390.1
01-01-2024 14:30,1704094200,2.05,22,858395.6
01-01-2024 14:45,1704095100,2.02,24.4,858401.7
01-01-2024 15:00,1704096000,1.97,27.6,858408.6
01-01-2024 15:15,1704096900,2.03,29.6,858416
01-01-2024 15:30,1704097800,1.93,29.6,858423.4
01-01-2024 15:45,1704098700,2.02,32.4,858431.5
01-01-2024 16:00,1704099600,2.04,30,858439
01-01-2024 16:15,1704100500,1.95,33.6,858447.4
01-01-2024 16:30,1704101400,2.01,32.4,858455.5
01-01-2024 16:45,1704102300,1.95,38,858465
01-01-2024 17:00,1704103200,1.86,40,858475
01-01-2024 17:15,1704104100,1.88,40.8,858485.2
01-01-2024 17:30,1704105000,1.95,40.8,858495.4
01-01-2024 17:45,1704105900,1.98,40,858505.4
01-01-2024 18:00,1704106800,1.93,39.2,858515.2
01-01-2024 18:15,1704107700,1.96,34.4,858523.8
01-01-2024 18:30,1704108600,1.98,34.4,858532.4
01-01-2024 18:45,1704109500,1.96,30,858539.9
01-01-2024 19:00,1704110400,1.98,30.8,858547.6
01-01-2024 19:15,1704111300,1.97,32,858555.6
01-01-2024 19:30,1704112200,1.98,30.4,858563.2
01-01-2024 19:45,1704113100,2.05,28.8,858570.4
01-01-2024 20:00,1704114000,2.07,23.2,858576.2
01-01-2024 20:15,1704114900,2.03,24.8,858582.4
01-01-2024 20:30,1704115800,2.05,23.2,858588.2
