f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
3.873546914636041283e-01,9.238341887644253569e-01,3.354627874656098685e-01,1.904271841535576382e-02,3.603717385935896189e-01,7.935837239161092072e-02,1.319773694372543549e-01,9.945343130341550708e-01,9.845841138745653476e-01,3.608854175689747423e-01,0.000000000000000000e+00
4.398971151143901137e-01,4.331423267024984147e-01,7.822595061246546688e-01,5.676125190418798150e-01,6.598677085427065991e-01,3.916120905933747620e-01,5.800224933717922360e-01,1.809263186448515359e-01,8.168450766076646996e-01,3.197713731996026931e-01,1.000000000000000000e+00
3.211866741620494903e-01,1.558299383875318966e-01,1.172561755919748760e-01,6.855264543898582641e-01,5.668519644366798449e-02,2.964557185840277498e-01,5.103899293883559229e-01,2.039287327749689238e-01,5.787483061925839944e-01,6.444356420323494872e-01,0.000000000000000000e+00
4.916231949347571462e-01,2.943236729203349000e-01,9.637032259415652113e-01,5.720507985937441919e-01,8.778575539715546272e-01,3.009235238717558047e-01,5.975727895717317661e-01,6.844012951174197612e-01,7.422277031760644572e-01,2.161826761460797774e-01,1.000000000000000000e+00
3.271817023678428304e-01,1.910309465444507415e-01,3.449571814615464138e-01,5.313227246422256300e-01,7.213630285893739558e-01,3.297020395594190134e-01,8.614841431849907805e-01,1.565121756032721301e-01,8.714629669236327869e-01,9.847416207463947080e-01,0.000000000000000000e+00
5.872267524182029907e-01,8.155569188209899067e-02,2.637506689629403045e-01,6.719575563207347280e-02,3.507117035164681873e-01,4.459091443249896258e-01,8.406337577941915828e-01,3.583041137994409375e-01,5.319254206981103295e-01,7.485855038151957297e-01,0.000000000000000000e+00
5.634378316132760967e-01,3.022149020422418841e-01,9.611978408751746805e-01,4.610710297573755723e-01,5.788344665965003966e-01,2.283378049998849857e-01,6.186963027871756893e-01,7.171787591210009305e-01,7.551409311598891172e-01,5.682087986051388429e-01,1.000000000000000000e+00
1.742880751894263502e-01,6.727365488676375627e-01,3.399199339322013236e-01,1.758315150999251175e-01,6.629518573282399130e-01,6.199012977019564552e-01,9.453475158159361236e-01,5.426095864747754183e-01,6.487766591873614930e-01,3.128491489046362206e-01,0.000000000000000000e+00
5.734256262576609142e-01,6.569270757462893906e-01,7.700140398778280160e-01,3.311244491445952676e-01,4.242185593419576239e-01,2.334948555066203024e-01,4.086283837390054519e-01,8.274734282625199056e-01,2.066899917381948004e-01,9.743697462720366520e-01,1.000000000000000000e+00
7.064243356519765982e-01,3.471517033529909479e-01,4.698473366368175475e-01,6.745938585177909674e-01,5.222328707820450555e-01,5.954650381661986680e-01,5.551965833714589404e-01,2.487189572996759690e-01,4.978712584823078435e-01,2.823582691258994526e-01,1.000000000000000000e+00
3.376984914416572003e-01,5.572755093353807254e-01,1.006181667548154968e-01,6.663630829306741443e-01,8.619682936541621654e-01,7.245824581350435167e-02,5.610094298095141818e-01,3.097827057310670318e-01,3.482852290033011666e-01,4.951318262383581636e-01,0.000000000000000000e+00
5.729539480938639073e-02,3.260038914433238677e-02,6.958498465562760193e-01,1.625058872990110537e-01,2.640434493230857660e-01,7.183821206070702958e-01,3.668482890300441834e-01,4.414413055804837782e-01,1.993931134195832122e-01,8.959776120333801108e-01,0.000000000000000000e+00
9.625419004101254394e-02,1.039701663228843609e-01,2.484072313511669350e-01,4.175134007759102595e-01,5.172688982677218217e-01,4.858146851708663450e-01,3.051992326155112956e-01,1.520555129999527910e-01,6.951975061781774379e-01,4.287653829404826089e-01,0.000000000000000000e+00
